"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Canada","CAN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","66000000","300000000","188000000","238000000","273000000","121000000","112000000","73000000","198000000","183000000","198000000","290000000","323000000","118000000","113000000","82000000","259000000","138000000","177000000","163000000","116000000","105000000","237000000","97000000","77000000","83000000","236000000","244000000","124000000","33000000","79000000","93000000","139000000","144000000","161000000","242000000","132000000","96000000","34000000","76000000","69000000","120000000","177000000","301000000","288000000","234000000","253000000","353000000","251000000","198000000","196000000","273000000","258000000","166000000","179000000","325000000","95000000","63000000","117000000","230000000","117000000","123000000","179000000","283000000","152000000","",
"Central Europe and the Baltics","CEB","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","5000000","5000000","12000000","111000000","237000000","234000000","337000000","327000000","325000000","351000000","268000000","284000000","293000000","211000000","258000000","","","","363000000","291000000","278000000","425000000","325000000","243000000","","","399000000","","","53000000","127000000","112000000","","","586000000","443000000","276000000","150000000","","","186000000","","223000000","","","262000000","342000000","268000000","","","","","","469000000","","","","","","","","","1063000000","954000000","455000000","",
"Switzerland","CHE","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","435000000","493000000","534000000","351000000","394000000","484000000","367000000","262000000","91000000","105000000","18000000","42000000","34000000","54000000","89000000","465000000","573000000","339000000","223000000","486000000","562000000","555000000","411000000","331000000","528000000","347000000","348000000","319000000","375000000","322000000","475000000","506000000","454000000","235000000","176000000","144000000","204000000","131000000","198000000","226000000","139000000","218000000","177000000","205000000","290000000","273000000","318000000","323000000","503000000","257000000","278000000","343000000","251000000","208000000","347000000","490000000","220000000","175000000","243000000","218000000","145000000","105000000","176000000","63000000","33000000","",
"Channel Islands","CHI","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","0","","","0","","0","0","","0","","","3000000","3000000","4000000","4000000","","3000000","8000000","","","","29000000","","2000000","1000000","1000000","","1000000","","","","","","100000000","","","","","","20000000","","","","0","","","","8000000","","","",
"China","CHN","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","285000000","35000000","47000000","12000000","75000000","387000000","619000000","426000000","746000000","669000000","905000000","1308000000","1246000000","658000000","508000000","661000000","580000000","224000000","611000000","553000000","943000000","707000000","1557000000","1763000000","1931000000","1292000000","1862000000","2600000000","1425000000","1056000000","954000000","1321000000","670000000","1435000000","1063000000","981000000","764000000","427000000","347000000","332000000","306000000","510000000","524000000","701000000","408000000","341000000","770000000","505000000","586000000","1125000000","1501000000","1258000000","1534000000","2076000000","1323000000","1819000000","2449000000","1624000000","1365000000","1604000000","635000000","1358000000","2280000000","2982000000","1131000000","",
"Cote d'Ivoire","CIV","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","1000000","","","","","","","","","","","","","","","","","","22000000","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Arms exports (SIPRI trend indicator values)","MS.MIL.XPRT.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
